"establishmentMeans","reps"
"excavated from pre-Columbian Iroquois middens, 5 elements removed 4 June 1969 for L L Hargrave, Prescott College, Prescott, Arizona by J C Barlow, 1957 excavation",1
"excavated from prehistoric 1500 AD Iroquois Village",1
"excavated from swamp",1
"excavated in 1967",1
"excavated in swamp at 16 ft, 1946-1956",1
"excavated in swamp at depth of 16 feet, between 1946 and 1956",1
"excavated in swamp at depth of 16 feet, between 1946 and 1956, see description in letter by H G Savage",1
"excavated Sept 1946 at Cahiague Indian Village Site - 1615",2
"excavated Sept 1946 at Cahiague Indian Village site of 1615",1
"excavated Sept 1946 from Cahiague Indian village site of 1615",1
"excavated, many remains dated English occupation 1679-1721",1
"F",1
"feathers caked with ice prevented it from flying",1
"fell from nest",1
"fell in Rideau Canal",1
"fell out of nest",2
"fell out of sky while flying",1
"fence kill",7
"field photo",6
"Finland, Nylandia, Helsinki, Viikki",1
"fishing line wrapped around wings",1
"flew down chimney of partly burned house",1
"flew into train",1
"flightless",2
"flightless when collected",1
"FNA 20",3
"FNA 24",21
"FNA 26",6
"found alive",26
"found alive 12 November, died 16 November",1
"found alive 15 Dec 2004 on snow bank",1
"found alive 15 Jan 2000",1
"found alive 1967 September 16",1
"found alive 2005 Nov 10, fish hook in mouth and fishline wrapped around left primaries",1
"found alive 24 Jan 1992",1
"found alive after storm",1
"found alive and severely injured on truck after arrival in Thunder Bay",1
"found alive but dying",1
"found alive by children, kept captive",1
"found alive during Eastern gale",1
"found alive floating in water",1
"found alive in pesticide spray area, died later",1
"found alive in rain gutter",1
"found alive on 26 March, died 5 April",1
"found alive on beach",1
"found alive on golf course",1
"found alive unable to fly",1
"found alive with broken wing",1
"found alive, and caged for one week",1
"found alive, captive for 1 day",1
"found alive, captive for 1 day then euthanised",1
"found alive, captive for 12 days",1
"found alive, captive for a couple days",1
"found alive, dead shorlty after",2
"found alive, died",2
"found alive, died same day as found, toxic poisoning",1
"found alive, died shortly afterwards",2
"found alive, euthanized",1
"found alive, injured",1
"found alive, later died from pesticide poisoning, from spray area",1
"found alive, oil soaked",1
"found alive, oiled",1
"found alive, tame and uninjured, soon died",1
"found alive, unable to fly",1
"found alive, young bird from late brood left behind in box, prob too weak to follow parents, and picked up exhausted in garden after prolonged rain",1
"found almost dead",1
"found among duck feathers",1
"found at entrance to burrow, Weasel?",1
"found attached to burdock",2
"found blind",1
"found blind, died in captivity",1
"found by workers in burnt over forest",1
"found covered in ice",1
"found crippled",1
"found dead",1622
"found dead 100 ft from nest, taken from pipped egg",1
"found dead 30 September 1996 and then buried 1 October 1996, dug up December 1996",1
"found dead 50 yds from water after stormy night",1
