"data.dwc:preparations","reps"
"7o",49
"8more",49
"ad",49
"are",49
"dentory",49
"elevated",49
"palatoquadrate",49
"radio",49
"subopercle",49
"u2",49
"206",48
"acético",48
"bituminous",48
"blue",48
"folded",48
"formal",48
"gill",48
"glands",48
"gp",48
"list",48
"mostly",48
"postcranium",48
"pres",48
"sskult",48
"256",47
"03",47
"alaska",47
"anchorage",47
"collectors",47
"eft",47
"ornithological",47
"parital",47
"pickled",47
"sea",47
"wash",47
"221",46
"226",46
"227",46
"234",46
"association",46
"glutaraldehyde",46
"jensen",46
"neurocranium",46
"pavement",46
"rehydrated",46
"remade",46
"rt",46
"tmt",46
"xv",46
"230",45
"233",45
"242",45
"243",45
"1985",45
"anderson",45
"badly",45
"birdprep",45
"dirty",45
"echnoid",45
"fang",45
"paulay",45
"postcran",45
"quarters",45
"rodent",45
"schalk",45
"washed",45
"about",44
"aliz",44
"burrow",44
"dentral",44
"epiplastra",44
"frament",44
"gillette",44
"manubrium",44
"minuten",44
"quadratojugal",44
"ring",44
"serial",44
"slipp",44
"strobilus",44
"tha",44
"volvox",44
"215",43
"244",43
"1949",43
"1954",43
"ag",43
"axial",43
"baited",43
"cardiff",43
"cooke",43
"july",43
"kohlen",43
"paraformalin",43
"slf",43
"unfused",43
"240",42
"276",42
"enclosed",42
"kunmh",42
"opercular",42
"pm",42
"singh",42
"tørr",42
"unguals",42
"236",41
"252",41
"260",41
"265",41
"278",41
"acorn",41
"bon",41
"collected",41
"containing",41
"crete",41
"epihyal",41
"fins",41
"formlin",41
"march",41
"n1",41
"oyster",41
"rays",41
"s0",41
"sclerotic",41
"steinkerns",41
"visceral",41
"acetoned",40
"area",40
"assigned",40
"bowles",40
"just",40
"lacrimal",40
"made",40
"mastoid",40
"metatarsus",40
"put",40
"regurg",40
"skelett",40
"trapezium",40
"tusks",40
"u3",40
"weisbeck",40
"without",40
"218",39
"222",39
"247",39
"canines",39
"claystone",39
"dreft",39
"hole",39
"jan",39
"orbital",39
"precloacal",39
"pterygipohore",39
"richter",39
"size",39
"stodsol",39
"van",39
"232",38
"239",38
"251",38
"7more",38
"arches",38
"attached",38
"frontoparietal",38
"juveniles",38
"lesion",38
"piel",38
"sesamoids",38
"trebouxia",38
"224",37
"267",37
"290",37
"bell",37
"co2",37
"holes",37
"hypoplastral",37
"iintact",37
"nodule",37
"rdp4",37
"salted",37
"station",37
"terepocki",37
"248",36
"258",36
"270",36
"275",36
"07",36
"beck",36
"brachiopod",36
"champion",36
"contain",36
"d'histoire",36
"dorsolateral",36
"echinoderm",36
"ectopterygoid",36
"enamel",36
"forams",36
"france",36
"isol",36
"labial",36
"mnh",36
"much",36
"naturelle",36
"neutro",36
"orcone",36
"pox",36
"premaxillae",36
"sized",36
"this",36
"top",36
"268",35
"chip",35
"five",35
"ichnite",35
"more",35
"organ",35
"phenoxyethanol",35
"raker",35
"ri",35
"species",35
"stems",35
"xs",35
"yes",35
"235",34
"241",34
"257",34
"259",34
"279",34
"2012",34
"comp",34
"degraded",34
"deposited",34
"dmerwin",34
"epiphyseal",34
"glomera",34
"hmds",34
"infructescences",34
"kennedy",34
"new",34
"pinnules",34
"plantae",34
"raphe",34
"resin_mount",34
"scott",34
"seminal",34
"sleeved",34
"west",34
"245",33
"269",33
"288",33
