reproductiveCondition,reps
1 embryo (R) CR:10,1
1 embryo (R) CR:9,1
1 embryo (microscopic).,1
1 embryo 16mm,1
1 embryo 26mm.,1
1 embryo each horn-7.6mm.  1 embryo unattached in,1
"1 embryo in each horn, ~9mm diameter each.",1
1 embryo in right horn; cr-35,1
"1 embryo left horn, 3 right: 3x1mm",1
"1 embryo left, 1 embryo right",1
"1 embryo right horn 4x8mm, 1 embryo left horn",1
"1 embryo right, 1 embryo left: 15.0mm, 19.0mm (unknown which is on which side).",1
"1 embryo right, 1 embryo left; CR 2.0mm. Lactating.",1
1 embryo scar each side (2 total),1
1 embryo scar each side; lactating,1
"1 embryo scar left horn, none right horn",1
"1 embryo, 29mm.",1
"1 embryo, C-R lenght 172- preserved 13709a.",1
"1 embryo, R=0, L=1, CRL= 8 mm",1
"1 embryo, R=1, L=0, CRL=21 mm",1
"1 embryo, R=1, L=0, CRL=26 mm",1
"1 embryo, R=1, L=0, CRL=3 mm",1
1 embryo: 16mm,1
1 embryo: 9mm,1
1 embryo; 12mm,1
1 embryo; 3.5mm,1
1 embryo; 6 mm long clear swelling in left horn,1
1 embryo; clear swelling; cr-5,1
1 embryo; cr-100,1
1 embryo; cr-35,1
1 embryos 12mm,1
1 embryos 13mm,1
1 enlarged follicle,1
"1 enlarged follicle: 10x5 mm, 1 ruptured follicle, brood patch",1
1 fetus,1
1 fetus (40 mm.),1
1 flower,1
"1 follicle 5, shelled egg in oviduct, five ruptured follicles",1
1 hembra ovada,12
1 large egg with soft shell,2
"1 large follicle 8 mm, 3 ruptured follicles, 1 in oviduct, brood patch present",1
"1 large follicle 8 mm, brood patch and unshelled egg in oviduct, 4 ruptured follicles",1
"1 large ova in oviduct, 3 ruptured follicles, brood patch nearly complete",1
"1 left fetus, crown to rump: 23.0mm.",1
"1 lt. plac. scar, 1 rt emb: CR: 16 mm",1
1 male suckling,1
"1 mm diameter, horns 0.5 mm diameter; ovaries small",1
1 mm x 1 mm,1
1 neonate,4
1 neonate; mother of ROMM 43919,1
1 neonate; mother of ROMM 74058,1
1 neonate; mother of ROMM 78874,1
1 nido con 4 huevos y 2 pollos muy chicos,1
"1 old embryo scar each side (2 total), not lactating",1
"1 ova 1.5mm, 3ova 1mm, other ova less than 1mm.",1
1 ova 3 mm,1
"1 ova 3 mm, no brood patch",1
"1 ova 4 mm, brood patch defeathering",1
"1 ova enlarged, 3 to 4 ruptured follicles",1
"1 ova in oviduct, 5 ruptured follicle",1
1 ovary,1
1 oviductal egg in left ovary ca. 5 mm,1
"1 oviductal egg, yolking follicles lt & rt ovaries",1
1 ovo 3mm,1
1 ovum 3 millimeters,1
1 ovum 3.0cm + ~ 3d other,1
"1 p-scar R, 2 p-scar L",1
"1 partly birthed young, L",1
1 plac scar 1L 0R,1
"1 plac scar, L",1
1 placental scar,3
1 placental scar (L),1
"1 placental scar, right horn.",1
"1 possible scar in each horn, but not lactating - small embryos? Old scars?",1
1 pouch yg (78-27-14-07),1
1 pouch yg (89-32-16-08),1
1 pouch yg.,1
1 pouch young,5
1 reproductivo,5
"1 ruptured follicle, 10x15 mm shelless egg in oviduct, ovum: 8x8, brood patch vascularized",1
"1 ruptured follicle, 3 enlarged ova, clutch of 4",1
"1 ruptured follicle, ov: 18x12, lrgst ova: 5x5 mm",1
"1 ruptured follicle, oviduct enlarged, ova: 12x12, 6x6, 10x10 mm",1
"1 ruptured follicle, two follicles, lrgst 10 mm, clutch size 3, clutch completed May 26, one unshelled egg in oviduct",1
"1 ruptured follicle, unshelled egg in oviduct and follicles 8, 5, 3 mm",1
"1 ruptured follicle, unshelled egg in oviduct, lrgst ova 8, 4 mm, brood patch active",1
1 ruptured follicle=4mm.  12 other follicles=2mm.,1
1 scar (R); 1 emb (L),1
1 scar: rt,1
"1 sem. ves. 5x4mm, tubules visible",1
"1 set of placental scars: 3L, 2R",1
1 shelled egg in oviduct,1
"1 shelled egg in oviduct, 1 large follicle 10 mm, 2 ruptured follicles, brood patch active",1
"1 shelled egg, R, 10 X 8; 1 partly yolked ova, L, 3 mm",1
1 shelless egg in oviduct,1
1 sm emb,2
1 soft shelled egg and six well developed ova,1
"1 spermatophore, very few (<20) recognizable eggs, abdomen shrunken",1
1 testes desc.,1
1 testes; CR-18,1
1 testicle 5.5 x 4,1
1 testis/epididymis WT-0.90,1
1 testis/epididymis WT-1.01,1
1 tubal egg,1
"1 unshelled egg in oviduct, 2 ruptured follicles, follicles 8, 5, 3 mm, brood patch beginning",1
